,comments,created_time,from,id,likes,content,shares,type
0,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRGs0TWpJMU5qUXdNak00TkRrM09qRTBNamd6TkRFMU5qTT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRGs0TWpJMU5qUXdNak00TkRrM09qRTBNamd6TkRFMU5qTT0='}}, u'data': [{u'message': u'saludos,y suerte en esas ideas!!', u'from': {u'name': u'Gladys Cardenas Ruz', u'id': u'530565340441374'}, u'id': u'898156686912059_898225640238497'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2015-04-06 15:25:57,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_898156686912059,"{u'paging': {u'cursors': {u'after': u'MTAyMDcyNjgwODMzMTU2OTY=', u'before': u'MTAyMDI3MjU0NjA2NDE2NDQ='}}, u'data': [{u'id': u'10202725460641644', u'name': u'Telma Costa Tahani El Helwa'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'500397526687979', u'name': u'Fundación Ascensus Mujer'}, {u'id': u'10207268083315696', u'name': u'Sofia Belen Barraza Aguilera'}], u'summary': {u'total_count': 4}}","Buenos días Seguidores <3, esperamos que hayan tenido un fin de semana maravilloso y que empiecen esta semana con todo el animo y ganas !!!!!
Nosotros por nuestro lado, desde ya estamos trabajando en muchas ideas y proyectos que se irán publicando !!!!!",,status
1,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-03-31 12:54:39,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_894822217245506,"{u'data': [], u'summary': {u'total_count': 0}}","Lamentablemente el Femicidio N° 11 de lo que va el año...
Ojala que esta cifra no siga aumentado y esperamos que esos pequeños tengan el apoyo psicológico y emocional para que con esa ayuda puedan superar esto !",,link
2,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRGswTXpNM01EVTNNamswTURJeU9qRTBNamMzTVRnM05ERT0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRGswTXpNM01EVTNNamswTURJeU9qRTBNamMzTVRnM05ERT0='}}, u'data': [{u'message': u'gracias igual para ustedes,muchos cariños', u'from': {u'name': u'Gladys Cardenas Ruz', u'id': u'530565340441374'}, u'id': u'894332130627848_894337057294022'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2015-03-30 12:17:57,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_894332130627848,"{u'paging': {u'cursors': {u'after': u'NTMwNTY1MzQwNDQxMzc0', u'before': u'MTAxNTM1Nzc0ODY5MDk4NTA='}}, u'data': [{u'id': u'10153577486909850', u'name': u'Anuzka Plaza'}, {u'id': u'728943147202724', u'name': u'Claudia Gallardo Leiva'}, {u'id': u'303407416479012', u'name': u'Sandra Isabel Lazcano Zamora'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}], u'summary': {u'total_count': 4}}","Buenos días !!!!
Esperamos que tengan un genial inicio de semana, todas las buenas energías para cada uno de nuestro seguidores <3 !",,status
3,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-03-27 15:02:50,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_892887414105653,"{u'paging': {u'cursors': {u'after': u'NTAwMzk3NTI2Njg3OTc5', u'before': u'MzAzNDA3NDE2NDc5MDEy'}}, u'data': [{u'id': u'303407416479012', u'name': u'Sandra Isabel Lazcano Zamora'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'500397526687979', u'name': u'Fundación Ascensus Mujer'}], u'summary': {u'total_count': 4}}","Estos son los CENTROS DE ACOPIO que se han formado para ir en ayuda de la gente del norte !!!! 

- Twitteros Solidarios” #FuerzaAtacama- iniciaron la campaña de recepción de alimentos no perecibles y agua destinada a los damnificados. Esto se realizará desde este viernes hasta el domingo en el Espacio Urbano ubicado en 15 Norte, Viña del Mar.

-  “Emergencias V Región” se encuentra recibiendo artículos de aseo, alimentos no perecibles, pañales y alimentos para bebés en el centro de acopio ubicado en 5 Norte 132, intersección con Av. San Martín.

- La directora del Injuv en la región- hizo un llamado para que quienes quieran entregar ayuda para los afectados en la zona norte, se acerquen a la oficina del Instituto Nacional de la Juventud -ubicada en Errázuriz 1236, local 13, Valparaíso- que ha sido habilitada como centro de acopio. 
Allí se reciben elementos como capas, botas y nylon, además de pañales y agua embotellada

Uno nunca sabe las vueltas de la vida, como le toco a nuestra región y nos ayudaron TENEMOS QUE AYUDAR A LEVANTAR EL NORTE DE NUESTRO HERMOSO PAÍS !!!",{u'count': 3},status
4,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-03-26 14:37:13,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_892257647501963,"{u'paging': {u'cursors': {u'after': u'MTAyMDg1MjkzODM3MzA5MDQ=', u'before': u'MTAyMDQ1MjA0Mzc4NjgyNzc='}}, u'data': [{u'id': u'10204520437868277', u'name': u'Doula Evelyn Pradenas'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10205478267187722', u'name': u'Marcelo Adrian Arufe'}, {u'id': u'10154697662015023', u'name': u'Claudia Viviana Alfaro Henríquez'}, {u'id': u'728943147202724', u'name': u'Claudia Gallardo Leiva'}, {u'id': u'10205094264571741', u'name': u'Daniel Palominos'}, {u'id': u'10208529383730904', u'name': u'Mauricio Naranjo Vera'}], u'summary': {u'total_count': 7}}","Enviamos todas las fuerzas del mundo para las mujeres y sus familias del norte de nuestro país, esperamos de corazón que puedan recuperarse sus ciudades y los hogares de todos los afectados por esta tragedia que enluta a nuestro país.",,status
5,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-03-26 14:16:27,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_892251387502589,"{u'paging': {u'cursors': {u'after': u'NTAwMzk3NTI2Njg3OTc5', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10153577486909850', u'name': u'Anuzka Plaza'}, {u'id': u'500397526687979', u'name': u'Fundación Ascensus Mujer'}], u'summary': {u'total_count': 4}}",Que genial la aceptación por su cuerpo .. ¿Que opinan ustedes?,,link
6,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRGt4TkRjNU9UWTNOVGM1TnpNeE9qRTBNamN5TXpjNU1Eaz0=', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZPRGt4TkRjNU9UWTNOVGM1TnpNeE9qRTBNamN5TXpjNU1Eaz0='}}, u'data': [{u'message': u'uff con mucho miedo,cariños!!', u'from': {u'name': u'Gladys Cardenas Ruz', u'id': u'530565340441374'}, u'id': u'891231217604606_891479967579731'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2015-03-24 13:07:21,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_891231217604606,"{u'paging': {u'cursors': {u'after': u'NTAwMzk3NTI2Njg3OTc5', u'before': u'MTAxNTM1Nzc0ODY5MDk4NTA='}}, u'data': [{u'id': u'10153577486909850', u'name': u'Anuzka Plaza'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'1003762753013325', u'name': u'Hans Harold Kittelsen'}, {u'id': u'10207268083315696', u'name': u'Sofia Belen Barraza Aguilera'}, {u'id': u'500397526687979', u'name': u'Fundación Ascensus Mujer'}], u'summary': {u'total_count': 5}}","Buenos días, esperamos que hayan disfrutado de la hermosa tormenta eléctrica que nos entrego la naturaleza !!
Que tengan una excelente jornada :)",,status
7,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2015-03-08 20:12:15,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_882045888523139,"{u'paging': {u'cursors': {u'after': u'MTAyMDUwOTQyNjQ1NzE3NDE=', u'before': u'MTAxNTQ2OTc2NjIwMTUwMjM='}}, u'data': [{u'id': u'10154697662015023', u'name': u'Claudia Viviana Alfaro Henríquez'}, {u'id': u'10154271802693484', u'name': u'Johanna Scotti Becerra'}, {u'id': u'10205094264571741', u'name': u'Daniel Palominos'}], u'summary': {u'total_count': 3}}","En este día tan importante, saludamos a todas las mujeres y las invitamos a continuar luchando por nuestros derechos. Feliz Día para todas!!!!",,status
8,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-12-24 19:41:26,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_839441852783543,"{u'paging': {u'cursors': {u'after': u'NzI4OTQzMTQ3MjAyNzI0', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10208542010207306', u'name': u'Profe Waldo Leiva'}, {u'id': u'10207810509397730', u'name': u'Jessica Baali'}, {u'id': u'10153577486909850', u'name': u'Anuzka Plaza'}, {u'id': u'728943147202724', u'name': u'Claudia Gallardo Leiva'}], u'summary': {u'total_count': 5}}",A todos y a todas Ascensus Mujer les desea una Noche Buena llena de Paz y una Feliz Navidad!!!!!!!!!,,status
9,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-11-25 15:00:00,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_824167174311011,"{u'paging': {u'cursors': {u'after': u'MTAyMDc0ODIwOTIzNDM4MzE=', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10207810509397730', u'name': u'Jessica Baali'}, {u'id': u'10154697662015023', u'name': u'Claudia Viviana Alfaro Henríquez'}, {u'id': u'10205094264571741', u'name': u'Daniel Palominos'}, {u'id': u'10207482092343831', u'name': u'Kamila Sapiains'}], u'summary': {u'total_count': 5}}",No más Violencia contra las Mujeres!!!!,,status
10,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-05-11 17:30:02,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_715656231828773,"{u'paging': {u'cursors': {u'after': u'MTAyMDUwOTQyNjQ1NzE3NDE=', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10153575105535815', u'name': u'Marcela Espínola Figueroa'}, {u'id': u'10207506784128640', u'name': u'Mary Bernales López'}, {u'id': u'10205094264571741', u'name': u'Daniel Palominos'}], u'summary': {u'total_count': 4}}","Un reconocimiento a TODAS las mujeres, en este día...¡¡porque  todas somos madres!!",,status
11,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-04-14 13:41:58,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_700902409970822,"{u'paging': {u'cursors': {u'after': u'MTAxNTQ2OTc2NjIwMTUwMjM=', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'728943147202724', u'name': u'Claudia Gallardo Leiva'}, {u'id': u'10153548087203250', u'name': u'Gloria Staig'}, {u'id': u'10154697662015023', u'name': u'Claudia Viviana Alfaro Henríquez'}], u'summary': {u'total_count': 4}}",Fuerza Valparaíso!!! vamos a ayudarlos entre todos.,,status
12,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-03-17 17:12:11,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_615726968504901,"{u'paging': {u'cursors': {u'after': u'NTMwNTY1MzQwNDQxMzc0', u'before': u'MTAxNTM1NDgwODcyMDMyNTA='}}, u'data': [{u'id': u'10153548087203250', u'name': u'Gloria Staig'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}], u'summary': {u'total_count': 2}}","Cursos de Capacitación Gratuitos  2014, Fomento Productivo Muni Viña del Mar, para que se inscriban en el link que aparece abajo, pueden ver los cursos y requisitos.",,link
13,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-03-12 11:30:01,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_684496484944748,"{u'paging': {u'cursors': {u'after': u'NTMwNTY1MzQwNDQxMzc0', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}], u'summary': {u'total_count': 1}}",Excelente Corina!,,photo
14,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-03-11 13:08:01,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_684083898319340,"{u'paging': {u'cursors': {u'after': u'NTMwNTY1MzQwNDQxMzc0', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}], u'summary': {u'total_count': 1}}",Se encuentran abiertas postulaciones a Capital Semilla de Sercotec y también las postulaciones a Fosis. www.fosis.cl y www.sercotec.cl,{u'count': 1},status
15,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-03-10 11:35:43,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_683594011701662,"{u'paging': {u'cursors': {u'after': u'NTMwNTY1MzQwNDQxMzc0', u'before': u'MTAxNTQwNTczNDE5NDk1Mjg='}}, u'data': [{u'id': u'10154057341949528', u'name': u'Andrea Fernandez Gonzalez'}, {u'id': u'10205094264571741', u'name': u'Daniel Palominos'}, {u'id': u'10205630101049803', u'name': u'Davo Tramon Sepulveda'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}], u'summary': {u'total_count': 4}}",Le dejamos las actividades que la Municipalidad de Valparaíso tiene para ustedes.,,photo
16,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOamd5TWpBNE5USTROVEEyT0RjM09qWXdNVGc0T0RRPQ==', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOamd5TWpBME1qTTROVEEzTXpBMk9qWXdNVGc0TlRFPQ=='}}, u'data': [{u'message': u'Feliz día para ustedes también y trabajan para ello.', u'from': {u'name': u'Gloria Staig', u'id': u'10153548087203250'}, u'id': u'682166191844444_6018851'}, {u'message': u'Gracias!. Feliz día para ustedes también.', u'from': {u'name': u'Mar\xedaCecilia Mena del Valle', u'id': u'10206874364200078'}, u'id': u'682166191844444_6018884'}], u'summary': {u'total_count': 2, u'order': u'chronological'}}",2014-03-07 13:15:03,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_682166191844444,"{u'paging': {u'cursors': {u'after': u'MTAyMDQzODkxODUwMjMyODY=', u'before': u'ODg4NjAyNzc0NTAwMTUz'}}, u'data': [{u'id': u'888602774500153', u'name': u'Clara Salgado Araya'}, {u'id': u'10207567276159763', u'name': u'Anuzka Baali'}, {u'id': u'10154271802693484', u'name': u'Johanna Scotti Becerra'}, {u'id': u'10208136468111459', u'name': u'Ximena Reyes Campaña'}, {u'id': u'10208241277528186', u'name': u'Sandrita Pauly Ferreira'}, {u'id': u'10206874364200078', u'name': u'MaríaCecilia Mena del Valle'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10152472530964504', u'name': u'Maria Stella Escobar'}, {u'id': u'10153548087203250', u'name': u'Gloria Staig'}, {u'id': u'10204389185023286', u'name': u'Claudia Andrea Rios Acevedo'}], u'summary': {u'total_count': 10}}","Feliz Día!!! para todas las mujeres: madres, hijas, hermanas, amigas, nietas, abuelas y todos aquellos roles que día a día ejercemos en la sociedad. Continuemos exigiendo respeto, igualdad de género y dignidad, porque poco a poco hemos comenzado a ganar el lugar que merecemos.",,status
17,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-03-03 20:51:55,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_680193868708343,"{u'paging': {u'cursors': {u'after': u'MTAyMDgxMzY0NjgxMTE0NTk=', u'before': u'MTAxNTQ2OTc2NjIwMTUwMjM='}}, u'data': [{u'id': u'10154697662015023', u'name': u'Claudia Viviana Alfaro Henríquez'}, {u'id': u'10206874364200078', u'name': u'MaríaCecilia Mena del Valle'}, {u'id': u'10153575105535815', u'name': u'Marcela Espínola Figueroa'}, {u'id': u'10204261226147567', u'name': u'Carola Kral Bravo'}, {u'id': u'10153548087203250', u'name': u'Gloria Staig'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10204389185023286', u'name': u'Claudia Andrea Rios Acevedo'}, {u'id': u'10208136468111459', u'name': u'Ximena Reyes Campaña'}], u'summary': {u'total_count': 8}}",Que este año laboral que comienza se venga con toda la energía para ustedes!,,status
19,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-02-12 01:00:13,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_668621076532289,"{u'paging': {u'cursors': {u'after': u'NTMwNTY1MzQwNDQxMzc0', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}], u'summary': {u'total_count': 1}}","Atención!!! Jueves 13 de Febrero a las 15 horas en Instituto Profesional Los Lagos (Independencia 2002 esquina Rodríguez,Valparaíso), Charla Gratuita 'Fondos Concursables'. El taller se enfocará en los diversos fondos concursables a los que se puede postular, cómo hacerlo, qué es requerido y como utilizarlos de manera correcta, dictados por Chile Emprende. Organizada por Caleta de Arte.
Inscribirse al mail: dispositivocultural@gmail.com
Además, esta semana hay obras de teatro y otras actividades a bajo costo más información en: www.dispositivocultural.cl",,status
20,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-01-31 15:30:00,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_677072089020521,"{u'paging': {u'cursors': {u'after': u'MTAyMDUwOTQyNjQ1NzE3NDE=', u'before': u'MTAyMDU1MjY3OTYwNjg2Mjg='}}, u'data': [{u'id': u'10205526796068628', u'name': u'Consuelo Arias'}, {u'id': u'10207943739012962', u'name': u'Luciano Schweizer'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10205094264571741', u'name': u'Daniel Palominos'}], u'summary': {u'total_count': 5}}",Felicidades Chicas!,,photo
21,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOalU0TVRRM09UQTBNalEyTWpjek9qVTVNREU0TXpNPQ==', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOalUxTkRRM05UTTBOVEUyTXpFd09qVTRPVEk0TURNPQ=='}}, u'data': [{u'message': u'¡Gracias!, para ustedes también. Saludos', u'from': {u'name': u'Mar\xedaCecilia Mena del Valle', u'id': u'10206874364200078'}, u'id': u'655130777881319_5892803'}, {u'message': u'Se agradece......', u'from': {u'name': u'Claudia Gallardo Leiva', u'id': u'728943147202724'}, u'id': u'655130777881319_5901833'}], u'summary': {u'total_count': 2, u'order': u'chronological'}}",2014-01-20 11:37:04,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_655130777881319,"{u'paging': {u'cursors': {u'after': u'MTAyMDY4NzQzNjQyMDAwNzg=', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10153575105535815', u'name': u'Marcela Espínola Figueroa'}, {u'id': u'10206874364200078', u'name': u'MaríaCecilia Mena del Valle'}], u'summary': {u'total_count': 3}}",Que tengan una buena semana!,,status
23,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-01-16 16:30:00,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_677072065687190,"{u'paging': {u'cursors': {u'after': u'MTAyMDUwOTQyNjQ1NzE3NDE=', u'before': u'MTAyMDU1MjY3OTYwNjg2Mjg='}}, u'data': [{u'id': u'10205526796068628', u'name': u'Consuelo Arias'}, {u'id': u'10207943739012962', u'name': u'Luciano Schweizer'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10205094264571741', u'name': u'Daniel Palominos'}], u'summary': {u'total_count': 5}}",Felicidades Chicas!,,photo
24,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2014-01-10 18:56:28,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_649678675093196,"{u'paging': {u'cursors': {u'after': u'MTAyMDQzODkxODUwMjMyODY=', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10204389185023286', u'name': u'Claudia Andrea Rios Acevedo'}], u'summary': {u'total_count': 2}}","¡Atención! Feria de las Artes y Oficios: Para las productoras (no reventa) que se encuentren interesadas en participar en esta feria que se realizará en Valparaíso, entre el 4 y 15 de Febrero y que tiene un costo de $50.000 el stand, el que también puede ser compartido comunicarse con ltadros@dispositivocultural.cl para más detalles de la postulación.",,status
25,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2013-12-31 15:30:00,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_677079455686451,"{u'paging': {u'cursors': {u'after': u'NTMwNTY1MzQwNDQxMzc0', u'before': u'MTAyMDc4MTA1MDkzOTc3MzA='}}, u'data': [{u'id': u'10207810509397730', u'name': u'Jessica Baali'}, {u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}], u'summary': {u'total_count': 2}}",Felicidades Gladys!!! Hermosas confecciones,,photo
26,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2013-12-30 19:16:50,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_643792975681766,"{u'paging': {u'cursors': {u'after': u'NTMwNTY1MzQwNDQxMzc0', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}], u'summary': {u'total_count': 1}}","Hola a todas, les cuento que nos quedan algunos cupos para el Taller de Alfabetización Digital (gratuito), favor las interesadas o consultas escribir a aplaza@ascensusmujer.cl
Lo realizaremos en el Edificio Gimpert de la Universidad Católica en Valparaíso. Comienza el 7 de Enero.
 Requisitos: No haber participado en el mismo Taller con nosotros anteriormente.",{u'count': 1},status
27,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2013-12-30 12:03:39,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_643591989035198,"{u'paging': {u'cursors': {u'after': u'MTAxNTQyNzE4MDI2OTM0ODQ=', u'before': u'NTMwNTY1MzQwNDQxMzc0'}}, u'data': [{u'id': u'530565340441374', u'name': u'Gladys Cardenas Ruz'}, {u'id': u'10206874364200078', u'name': u'MaríaCecilia Mena del Valle'}, {u'id': u'10205526796068628', u'name': u'Consuelo Arias'}, {u'id': u'10154271802693484', u'name': u'Johanna Scotti Becerra'}], u'summary': {u'total_count': 4}}","A todas ustedes, les deseamos de todo corazón los mejores deseos para este año que llega, esperando que esté lleno de salud, amor y buenas noticias para ustedes. Un abrazo grande!",,status
28,"{u'paging': {u'cursors': {u'after': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOalF3TWpZeU1EazJNRE0wT0RVME9qVTRNVE13TnpJPQ==', u'before': u'WTI5dGJXVnVkRjlqZFhKemIzSTZOalF3TWpZeU1EazJNRE0wT0RVME9qVTRNVE13TnpJPQ=='}}, u'data': [{u'message': u'Gracias. Para ustedes también.', u'from': {u'name': u'Mar\xedaCecilia Mena del Valle', u'id': u'10206874364200078'}, u'id': u'640084042719326_5813072'}], u'summary': {u'total_count': 1, u'order': u'chronological'}}",2013-12-23 17:37:25,"{u'category': u'Non-Profit Organization', u'name': u'Fundación Ascensus Mujer', u'category_list': [{u'id': u'2603', u'name': u'Non-Profit Organization'}], u'id': u'500397526687979'}",500397526687979_640084042719326,"{u'paging': {u'cursors': {u'after': u'MTAyMDQzODkxODUwMjMyODY=', u'before': u'MTAyMDY4NzQzNjQyMDAwNzg='}}, u'data': [{u'id': u'10206874364200078', u'name': u'MaríaCecilia Mena del Valle'}, {u'id': u'10154271802693484', u'name': u'Johanna Scotti Becerra'}, {u'id': u'10204389185023286', u'name': u'Claudia Andrea Rios Acevedo'}], u'summary': {u'total_count': 3}}",Les deseamos a todas una Feliz Navidad junto a sus queridos!!!,,status
