,comments,created_time,from,id,likes,content,shares,type
2,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2012-06-16 18:15:21,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'ONG Globalsud', u'id': u'161064250665065'}",161064250665065_254668257971330,"{u'data': [], u'summary': {u'total_count': 0}}",https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash4/s480x480/246522_455020664510467_445369642_n.jpg,,status
8,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2012-06-07 17:05:56,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'ONG Globalsud', u'id': u'161064250665065'}",161064250665065_307154552710750,"{u'data': [], u'summary': {u'total_count': 0}}",http://t.co/gDQNjHYH,,link
9,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2012-06-07 17:00:20,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'ONG Globalsud', u'id': u'161064250665065'}",161064250665065_202166683239275,"{u'data': [], u'summary': {u'total_count': 0}}",https://www.facebook.com/GEOFISICAINFO,,link
10,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2012-06-07 02:07:45,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'ONG Globalsud', u'id': u'161064250665065'}",161064250665065_459945984032769,"{u'data': [], u'summary': {u'total_count': 0}}",Sensación Térmica 21 hs,,link
12,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2012-06-05 16:09:55,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'ONG Globalsud', u'id': u'161064250665065'}",161064250665065_232935840143460,"{u'paging': {u'cursors': {u'after': u'MTYxMDY0MjUwNjY1MDY1', u'before': u'MTYxMDY0MjUwNjY1MDY1'}}, u'data': [{u'id': u'161064250665065', u'name': u'ONG Globalsud'}], u'summary': {u'total_count': 1}}",https://fbcdn-sphotos-a.akamaihd.net/hphotos-ak-ash3/s320x320/165823_444512052226174_889653068_n.jpg,,link
23,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2012-05-28 23:27:45,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'ONG Globalsud', u'id': u'161064250665065'}",161064250665065_241766909259010,"{u'data': [], u'summary': {u'total_count': 0}}",https://www.facebook.com/pages/InfoMet/109442479139847,,link
25,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2012-05-27 23:39:51,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'ONG Globalsud', u'id': u'161064250665065'}",161064250665065_287841184644438,"{u'paging': {u'cursors': {u'after': u'MTYxMDY0MjUwNjY1MDY1', u'before': u'MTYxMDY0MjUwNjY1MDY1'}}, u'data': [{u'id': u'161064250665065', u'name': u'ONG Globalsud'}], u'summary': {u'total_count': 1}}",http://sitios.upla.cl/contenidos/2012/05/23/upla-se-sumara-a-simulacro-de-terremoto-y-tsunami/,,link
26,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2012-05-27 03:42:37,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'ONG Globalsud', u'id': u'161064250665065'}",161064250665065_246403938792994,"{u'data': [], u'summary': {u'total_count': 0}}",http://www.facebook.com/l.php?,,link
30,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2012-05-23 05:06:11,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'ONG Globalsud', u'id': u'161064250665065'}",161064250665065_385507501484912,"{u'data': [], u'summary': {u'total_count': 0}}",https://www.facebook.com/pages/InfoMet/109442479139847,,link
35,"{u'data': [], u'summary': {u'total_count': 0, u'order': u'chronological'}}",2012-05-12 19:49:57,"{u'category': u'Non-Governmental Organization (NGO)', u'name': u'ONG Globalsud', u'id': u'161064250665065'}",161064250665065_351772371545055,"{u'paging': {u'cursors': {u'after': u'MTYxMDY0MjUwNjY1MDY1', u'before': u'MTYxMDY0MjUwNjY1MDY1'}}, u'data': [{u'id': u'161064250665065', u'name': u'ONG Globalsud'}], u'summary': {u'total_count': 1}}",http://www.facebook.com/l.php?u=http%3A%2F%2Fwww.cnnchile.com%2Fciencia-tecnologia%2F2012%2F05%2F12%2Fconozca-las-nuevas-herramientas-que-se-han-implementado-en-caso-de-tsunami%2F&h=2AQEjAY1MAQHc4mspgFhVaQNNel2o280BLtuSPxDfCmUDyA,,link
